unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1626912000000,2021-07-22 00:00:00,BTC/USDT,32144.51000000,32591.35000000,31708.00000000,32287.83000000,46148.09243300,1482763544.95053643,1000742
1626825600000,2021-07-21 00:00:00,BTC/USDT,29790.34000000,32858.00000000,29482.61000000,32144.51000000,82796.26512800,2603140706.08222436,1415058
1626739200000,2021-07-20 00:00:00,BTC/USDT,30839.65000000,31063.07000000,29278.00000000,29790.35000000,61034.04901700,1821230700.02039109,1062139
1626652800000,2021-07-19 00:00:00,BTC/USDT,31778.57000000,31899.00000000,30407.44000000,30839.65000000,47340.46849900,1470563281.93650284,846029
1626566400000,2021-07-18 00:00:00,BTC/USDT,31520.07000000,32435.00000000,31108.97000000,31778.56000000,35923.71618600,1140964365.64660148,760979
1626480000000,2021-07-17 00:00:00,BTC/USDT,31383.86000000,31955.92000000,31164.31000000,31520.07000000,34012.24213200,1072815966.33630751,883442
1626393600000,2021-07-16 00:00:00,BTC/USDT,31874.49000000,32249.18000000,31020.00000000,31383.87000000,48499.86415400,1538342711.57965672,1067591
1626307200000,2021-07-15 00:00:00,BTC/USDT,32820.03000000,33185.25000000,31133.00000000,31880.00000000,51639.57635300,1652077965.43655981,1099367
1626220800000,2021-07-14 00:00:00,BTC/USDT,32729.12000000,33114.03000000,31550.00000000,32820.02000000,46777.82348400,1515692074.98754753,1123129
1626134400000,2021-07-13 00:00:00,BTC/USDT,33086.94000000,33340.00000000,32202.25000000,32729.77000000,41126.36100800,1348583017.01034310,956053
